y;x
12;1
18,62;2
22,5;3
25,25;4
27,38;5
29,12;6
30,59;7
31,87;8
32,99;9
34;10
34,91;11
35,74;12
36,51;13
37,21;14
37,87;15
38,49;16
39,07;17
39,62;18
40,13;19
40,62;20
41,09;21
41,53;22
41,96;23
42,36;24
42,75;25
43,13;26
43,49;27
43,84;28
44,17;29
44,5;30
44,81;31
45,11;32
45,41;33
45,69;34
45,97;35
46,24;36
46,5;37
46,76;38
47;39
47,25;40
47,48;41
47,71;42
47,94;43
48,16;44
48,37;45
48,58;46
48,79;47
48,99;48
49,18;49
49,38;50
49,57;51
49,75;52
49,93;53
50,11;54
50,29;55
50,46;56
50,63;57
50,8;58
50,96;59
51,12;60
51,28;61
51,43;62
51,59;63
51,74;64
51,88;65
52,03;66
52,17;67
52,32;68
52,45;69
52,59;70
52,73;71
52,86;72
52,99;73
53,12;74
53,25;75
53,38;76
53,5;77
53,63;78
53,75;79
53,87;80
53,99;81
54,1;82
54,22;83
54,33;84
54,45;85
54,56;86
54,67;87
54,78;88
54,89;89
54,99;90
55,1;91
55,2;92
55,31;93
55,41;94
55,51;95
55,61;96
55,71;97
55,81;98
55,9;99
56;100
